cod_ibge;municipio;uf;ano;populacao;fonte
5000203;Água Clara;MS;2025;17901;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000252;Alcinópolis;MS;2025;4649;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000609;Amambai;MS;2025;41751;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000708;Anastácio;MS;2025;24781;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000807;Anaurilândia;MS;2025;7688;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000856;Angélica;MS;2025;11308;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000906;Antônio João;MS;2025;9717;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001003;Aparecida do Taboado;MS;2025;29826;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001102;Aquidauana;MS;2025;48689;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001243;Aral Moreira;MS;2025;11125;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001508;Bandeirantes;MS;2025;8342;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001904;Bataguassu;MS;2025;24222;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002001;Batayporã;MS;2025;10947;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002100;Bela Vista;MS;2025;21881;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002159;Bodoquena;MS;2025;8887;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002209;Bonito;MS;2025;25034;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002308;Brasilândia;MS;2025;11833;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002407;Caarapó;MS;2025;32748;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002605;Camapuã;MS;2025;13928;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002704;Campo Grande;MS;2025;962883;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002803;Caracol;MS;2025;5096;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002902;Cassilândia;MS;2025;21565;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002951;Chapadão do Sul;MS;2025;34606;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003108;Corguinho;MS;2025;4892;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003157;Coronel Sapucaia;MS;2025;14685;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003207;Corumbá;MS;2025;98751;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003256;Costa Rica;MS;2025;28740;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003306;Coxim;MS;2025;33440;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003454;Deodápolis;MS;2025;14317;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003488;Dois Irmãos do Buriti;MS;2025;11521;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003504;Douradina;MS;2025;5768;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003702;Dourados;MS;2025;264017;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003751;Eldorado;MS;2025;11622;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003801;Fátima do Sul;MS;2025;21504;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003900;Figueirão;MS;2025;3751;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
