cod_ibge;municipio;uf;ano;populacao;fonte
5000203;Água Clara;MS;2022;16741;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5000252;Alcinópolis;MS;2022;4537;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5000609;Amambai;MS;2022;39325;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5000708;Anastácio;MS;2022;24114;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5000807;Anaurilândia;MS;2022;7653;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5000856;Angélica;MS;2022;10729;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5000906;Antônio João;MS;2022;9303;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5001003;Aparecida do Taboado;MS;2022;27674;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5001102;Aquidauana;MS;2022;46803;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5001243;Aral Moreira;MS;2022;10748;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5001508;Bandeirantes;MS;2022;7940;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5001904;Bataguassu;MS;2022;23031;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002001;Batayporã;MS;2022;10712;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002100;Bela Vista;MS;2022;21613;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002159;Bodoquena;MS;2022;8567;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002209;Bonito;MS;2022;23659;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002308;Brasilândia;MS;2022;11579;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002407;Caarapó;MS;2022;30612;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002605;Camapuã;MS;2022;13583;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002704;Campo Grande;MS;2022;898100;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002803;Caracol;MS;2022;5036;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002902;Cassilândia;MS;2022;20988;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5002951;Chapadão do Sul;MS;2022;30993;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003108;Corguinho;MS;2022;4783;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003157;Coronel Sapucaia;MS;2022;14289;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003207;Corumbá;MS;2022;96268;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003256;Costa Rica;MS;2022;26037;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003306;Coxim;MS;2022;32151;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003454;Deodápolis;MS;2022;13663;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003488;Dois Irmãos do Buriti;MS;2022;11100;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003504;Douradina;MS;2022;5578;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003702;Dourados;MS;2022;243367;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003751;Eldorado;MS;2022;11386;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003801;Fátima do Sul;MS;2022;20609;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5003900;Figueirão;MS;2022;3539;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004007;Glória de Dourados;MS;2022;10444;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004106;Guia Lopes da Laguna;MS;2022;9940;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004304;Iguatemi;MS;2022;13808;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004403;Inocência;MS;2022;8404;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004502;Itaporã;MS;2022;24137;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004601;Itaquiraí;MS;2022;19423;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004700;Ivinhema;MS;2022;27821;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004809;Japorã;MS;2022;8148;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5004908;Jaraguari;MS;2022;7139;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005004;Jardim;MS;2022;23981;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005103;Jateí;MS;2022;3586;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005152;Juti;MS;2022;6729;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005202;Ladário;MS;2022;21522;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005251;Laguna Carapã;MS;2022;6799;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005400;Maracaju;MS;2022;45047;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005608;Miranda;MS;2022;25536;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005681;Mundo Novo;MS;2022;19193;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005707;Naviraí;MS;2022;50457;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5005806;Nioaque;MS;2022;13220;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006002;Nova Alvorada do Sul;MS;2022;21822;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006200;Nova Andradina;MS;2022;48563;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006259;Novo Horizonte do Sul;MS;2022;4721;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006275;Paraíso das Águas;MS;2022;5510;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006309;Paranaíba;MS;2022;40957;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006358;Paranhos;MS;2022;12921;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006408;Pedro Gomes;MS;2022;6941;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006606;Ponta Porã;MS;2022;92017;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5006903;Porto Murtinho;MS;2022;12859;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007109;Ribas do Rio Pardo;MS;2022;23150;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007208;Rio Brilhante;MS;2022;37601;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007307;Rio Negro;MS;2022;4841;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007406;Rio Verde de Mato Grosso;MS;2022;19818;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007505;Rochedo;MS;2022;5199;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007554;Santa Rita do Pardo;MS;2022;7027;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007695;São Gabriel do Oeste;MS;2022;29579;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007703;Sete Quedas;MS;2022;10994;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007802;Selvíria;MS;2022;8142;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007901;Sidrolândia;MS;2022;47118;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007935;Sonora;MS;2022;14516;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007950;Tacuru;MS;2022;10808;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5007976;Taquarussu;MS;2022;3625;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5008008;Terenos;MS;2022;17652;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5008305;Três Lagoas;MS;2022;132152;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
5008404;Vicentina;MS;2022;6336;IBGE SIDRA t/9514 - Censo 2022 - Populacao residente
