cod_ibge;municipio;uf;ano;populacao;fonte
5000203;Água Clara;MS;2023;16025;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5000252;Alcinópolis;MS;2023;5489;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5000609;Amambai;MS;2023;40247;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5000708;Anastácio;MS;2023;25336;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5000807;Anaurilândia;MS;2023;9116;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5000856;Angélica;MS;2023;11081;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5000906;Antônio João;MS;2023;9082;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5001003;Aparecida do Taboado;MS;2023;26386;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5001102;Aquidauana;MS;2023;48184;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5001243;Aral Moreira;MS;2023;12511;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5001508;Bandeirantes;MS;2023;7281;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5001904;Bataguassu;MS;2023;23620;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002001;Batayporã;MS;2023;11368;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002100;Bela Vista;MS;2023;24842;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002159;Bodoquena;MS;2023;7802;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002209;Bonito;MS;2023;22401;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002308;Brasilândia;MS;2023;11835;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002407;Caarapó;MS;2023;31005;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002605;Camapuã;MS;2023;13675;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002704;Campo Grande;MS;2023;916001;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002803;Caracol;MS;2023;6247;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002902;Cassilândia;MS;2023;22063;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5002951;Chapadão do Sul;MS;2023;26499;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003108;Corguinho;MS;2023;6158;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003157;Coronel Sapucaia;MS;2023;15449;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003207;Corumbá;MS;2023;112669;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003256;Costa Rica;MS;2023;21456;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003306;Coxim;MS;2023;33547;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003454;Deodápolis;MS;2023;13043;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003488;Dois Irmãos do Buriti;MS;2023;11547;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003504;Douradina;MS;2023;6025;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003702;Dourados;MS;2023;227990;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003751;Eldorado;MS;2023;12447;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003801;Fátima do Sul;MS;2023;19152;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
5003900;Figueirão;MS;2023;3066;SICONFI/Tesouro Nacional - coluna populacao (fonte IBGE)
