cod_ibge;municipio;uf;ano;populacao;fonte
5000203;Água Clara;MS;2024;17647;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000252;Alcinópolis;MS;2024;4648;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000609;Amambai;MS;2024;41414;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000708;Anastácio;MS;2024;24741;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000807;Anaurilândia;MS;2024;7735;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000856;Angélica;MS;2024;11203;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000906;Antônio João;MS;2024;9641;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001003;Aparecida do Taboado;MS;2024;29446;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001102;Aquidauana;MS;2024;48561;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001243;Aral Moreira;MS;2024;11085;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001508;Bandeirantes;MS;2024;8276;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001904;Bataguassu;MS;2024;24004;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002001;Batayporã;MS;2024;10953;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002100;Bela Vista;MS;2024;21965;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002159;Bodoquena;MS;2024;8849;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002209;Bonito;MS;2024;24761;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002308;Brasilândia;MS;2024;11840;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002407;Caarapó;MS;2024;32406;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002605;Camapuã;MS;2024;13920;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002704;Campo Grande;MS;2024;954537;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002803;Caracol;MS;2024;5115;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002902;Cassilândia;MS;2024;21549;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002951;Chapadão do Sul;MS;2024;33791;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003108;Corguinho;MS;2024;4893;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003157;Coronel Sapucaia;MS;2024;14661;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003207;Corumbá;MS;2024;99107;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003256;Costa Rica;MS;2024;28163;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003306;Coxim;MS;2024;33390;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003454;Deodápolis;MS;2024;14210;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003488;Dois Irmãos do Buriti;MS;2024;11470;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003504;Douradina;MS;2024;5749;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003702;Dourados;MS;2024;260640;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003751;Eldorado;MS;2024;11633;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003801;Fátima do Sul;MS;2024;21388;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003900;Figueirão;MS;2024;3709;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004007;Glória de Dourados;MS;2024;10777;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004106;Guia Lopes da Laguna;MS;2024;10135;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004304;Iguatemi;MS;2024;14017;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004403;Inocência;MS;2024;8712;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004502;Itaporã;MS;2024;25075;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004601;Itaquiraí;MS;2024;19996;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004700;Ivinhema;MS;2024;29613;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004809;Japorã;MS;2024;8409;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5004908;Jaraguari;MS;2024;7425;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005004;Jardim;MS;2024;24509;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005103;Jateí;MS;2024;3620;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005152;Juti;MS;2024;7009;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005202;Ladário;MS;2024;22290;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005251;Laguna Carapã;MS;2024;7012;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005400;Maracaju;MS;2024;47558;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005608;Miranda;MS;2024;26487;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005681;Mundo Novo;MS;2024;19937;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005707;Naviraí;MS;2024;52707;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5005806;Nioaque;MS;2024;13412;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006002;Nova Alvorada do Sul;MS;2024;23054;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006200;Nova Andradina;MS;2024;50610;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006259;Novo Horizonte do Sul;MS;2024;4811;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006275;Paraíso das Águas;MS;2024;5777;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006309;Paranaíba;MS;2024;42543;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006358;Paranhos;MS;2024;13323;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006408;Pedro Gomes;MS;2024;6974;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006606;Ponta Porã;MS;2024;97577;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5006903;Porto Murtinho;MS;2024;12864;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007109;Ribas do Rio Pardo;MS;2024;23996;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007208;Rio Brilhante;MS;2024;39936;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007307;Rio Negro;MS;2024;4933;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007406;Rio Verde de Mato Grosso;MS;2024;20393;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007505;Rochedo;MS;2024;5407;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007554;Santa Rita do Pardo;MS;2024;7174;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007695;São Gabriel do Oeste;MS;2024;31694;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007703;Sete Quedas;MS;2024;11301;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007802;Selvíria;MS;2024;8593;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007901;Sidrolândia;MS;2024;49374;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007935;Sonora;MS;2024;14822;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007950;Tacuru;MS;2024;11159;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5007976;Taquarussu;MS;2024;3730;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5008008;Terenos;MS;2024;18139;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5008305;Três Lagoas;MS;2024;141435;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5008404;Vicentina;MS;2024;6476;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
