Exercício: 2023
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 05 - Demonstrativo da Disponibilidade de Caixa e dos Restos a Pagar
Tabela: Disponibilidade de Caixa
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaBruta";19633421,33
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaBruta";19633421,33
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"Do Exercício (c)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";2745543,22
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"Do Exercício (c)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";2745543,22
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"Demais Obrigações Financeiras (e)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DemaisObrigacoesFinanceiras";4372000,29
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"Demais Obrigações Financeiras (e)";"TOTAL (III) = (I + II)";"siconfi-cor_DemaisObrigacoesFinanceiras";4372000,29
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";12515877,82
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";12515877,82
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";5463361,82
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";5463361,82
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"DISPONIBILIDADE DE CAIXA LÍQUIDA (APÓS A INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (h) = (f - g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquidaAposRP";7052516,00
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2839188;"DISPONIBILIDADE DE CAIXA LÍQUIDA (APÓS A INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (h) = (f - g)";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaLiquidaAposRP";7052516,00
Ministério Público do Estado de Santa Catarina;42;SC;Ministério Público;7338473;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaBruta";314168955,04
Ministério Público do Estado de Santa Catarina;42;SC;Ministério Público;7338473;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL DOS RECURSOS VINCULADOS (II)";"siconfi-cor_DisponibilidadeDeCaixaBruta";2509320,51
Ministério Público do Estado de Santa Catarina;42;SC;Ministério Público;7338473;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"Outros Recursos Extraorçamentários";"siconfi-cor_DisponibilidadeDeCaixaBruta";2509320,51
Ministério Público do Estado de Santa Catarina;42;SC;Ministério Público;7338473;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaBruta";316678275,55
Ministério Público do Estado de Santa Catarina;42;SC;Ministério Público;7338473;"Do Exercício (c)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";3025957,83
Ministério Público do Estado de Santa Catarina;42;SC;Ministério Público;7338473;"Do Exercício (c)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";3025957,83
