Exercício: 2021
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 05 - Demonstrativo da Disponibilidade de Caixa e dos Restos a Pagar
Tabela: Disponibilidade de Caixa
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaBruta";26529081,23
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"Recursos Ordinários";"siconfi-cor_DisponibilidadeDeCaixaBruta";26529081,23
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaBruta";26529081,23
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"Do Exercício (c)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";3351046,03
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"Do Exercício (c)";"Recursos Ordinários";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";3351046,03
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"Do Exercício (c)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";3351046,03
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";815217,73
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"Recursos Ordinários";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";815217,73
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";815217,73
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";22362817,47
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"Recursos Ordinários";"siconfi-cor_DisponibilidadeDeCaixaLiquida";22362817,47
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";22362817,47
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";6326691,08
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"Recursos Ordinários";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";6326691,08
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";6326691,08
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA LÍQUIDA (APÓS A INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (h) = (f - g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquidaAposRP";16036126,39
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA LÍQUIDA (APÓS A INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (h) = (f - g)";"Recursos Ordinários";"siconfi-cor_DisponibilidadeDeCaixaLiquidaAposRP";16036126,39
Assembleia Legislativa do Estado do Mato Grosso do Sul;50;MS;Legislativo;2809394;"DISPONIBILIDADE DE CAIXA LÍQUIDA (APÓS A INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (h) = (f - g)";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaLiquidaAposRP";16036126,39
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaBruta";7105780,22
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"Outros Recursos Não Vinculados";"siconfi-cor_DisponibilidadeDeCaixaBruta";7105780,22
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA BRUTA (a)";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaBruta";7105780,22
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Do Exercício (c)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";2763201,94
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Do Exercício (c)";"Recursos Ordinários";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";2763201,94
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Do Exercício (c)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarLiquidadosENaoPagosDoExercicio";2763201,94
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";289571,44
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"Recursos Ordinários";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";57957,75
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"Outros Recursos Não Vinculados";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";231613,69
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Restos a Pagar Empenhados e Não Liquidados de Exercícios Anteriores (d)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDeExerciciosAnteriores";289571,44
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Demais Obrigações Financeiras (e)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DemaisObrigacoesFinanceiras";507,79
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Demais Obrigações Financeiras (e)";"Recursos Ordinários";"siconfi-cor_DemaisObrigacoesFinanceiras";507,79
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"Demais Obrigações Financeiras (e)";"TOTAL (III) = (I + II)";"siconfi-cor_DemaisObrigacoesFinanceiras";507,79
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";4052499,05
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"Recursos Ordinários";"siconfi-cor_DisponibilidadeDeCaixaLiquida";-2821667,48
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"Outros Recursos Não Vinculados";"siconfi-cor_DisponibilidadeDeCaixaLiquida";6874166,53
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA LÍQUIDA (ANTES DA INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (f)=(a-(b+c+d+e))";"TOTAL (III) = (I + II)";"siconfi-cor_DisponibilidadeDeCaixaLiquida";4052499,05
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";3724528,15
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"Recursos Ordinários";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";3035409,89
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"Outros Recursos Não Vinculados";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";689118,26
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"RESTOS A PAGAR EMPENHADOS E NÃO LIQUIDADOS DO EXERCÍCIO (g)";"TOTAL (III) = (I + II)";"siconfi-cor_RestosAPagarEmpenhadosENaoLiquidadosDoExercicio";3724528,15
Defensoria Pública do Estado do Ceará;23;CE;Defensoria Pública;9187103;"DISPONIBILIDADE DE CAIXA LÍQUIDA (APÓS A INSCRIÇÃO EM RESTOS A PAGAR NÃO PROCESSADOS DO EXERCÍCIO) (h) = (f - g)";"TOTAL DOS RECURSOS NÃO VINCULADOS (I)";"siconfi-cor_DisponibilidadeDeCaixaLiquidaAposRP";327970,9
