Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITAS PRIMÁRIAS;3.473,63;3.999,22;4.540,29;4.689,58;5.069,67;5.495,52;2.021,89;58,2%
DESPESAS PRIMÁRIAS;3.833,14;4.065,69;4.652,55;5.427,98;5.452,49;6.100,38;2.267,24;59,1%
RESULTADO PRIMÁRIO;-359,51;-66,47;-112,26;-738,40;-382,82;-604,86;-245,35;68,2%
RECEITAS FINANCEIRAS;107,90;82,25;134,50;267,74;211,05;126,66;18,76;17,4%
DESPESAS FINANCEIRAS;79,27;60,95;116,84;120,24;153,31;173,43;94,16;118,8%
RESULTADO ORÇAMENTÁRIO;-330,88;-45,17;-94,61;-590,90;-325,07;-651,64;-320,76;96,9%
