Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
DESPESA DE CAPITAL;272,19;231,01;294,84;437,48;523,93;465,59;193,40;71,1%
Investimentos;217,63;184,84;212,45;352,27;426,69;361,18;143,55;66,0%
Demais Inversões;4,80;1,72;4,47;14,44;14,71;6,51;1,71;35,6%
Despesas Financeiras de Capital;49,76;44,45;77,92;70,77;82,53;97,90;48,14;96,7%
Amortização da Dívida;49,75;42,27;76,34;67,35;77,03;86,86;37,11;74,6%
SALDO (E) - Despesas Primárias de Capital;222,43;186,56;216,91;366,71;441,40;367,69;145,26;65,3%
DESPESA PRIMÁRIA TOTAL (F = D + E);3.833,14;4.065,69;4.652,55;5.427,98;5.452,49;6.100,38;2.267,24;59,1%
