Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITA DE CAPITAL;105,04;285,48;369,26;276,77;332,32;227,05;122,01;116,2%
Receitas Financeiras de Capital;22,89;37,00;109,01;79,51;124,53;58,78;35,89;156,8%
Operações de Crédito;11,56;28,46;89,39;63,92;109,35;39,68;28,12;243,3%
Alienação de Bens;2,30;0,82;8,77;3,74;2,93;6,24;3,94;171,3%
Amortização de Empréstimos;9,03;7,72;10,84;11,85;12,25;12,86;3,83;42,4%
Transferências de Capital;82,15;248,45;260,22;197,25;207,79;168,27;86,12;104,8%
SALDO (B) - Receitas Primárias de Capital;82,15;248,48;260,24;197,25;207,79;168,27;86,12;104,8%
RECEITA PRIMÁRIA TOTAL (C = A + B);12.784,47;15.333,31;17.382,52;19.553,96;21.073,19;21.569,35;8.784,88;68,7%
