Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
DESPESA CORRENTE;3.640,23;3.897,81;4.476,13;5.114,16;5.087,37;5.819,27;2.179,04;59,9%
Pessoal e Encargos Sociais;2.176,70;2.367,58;2.822,49;3.101,32;2.940,77;3.542,50;1.365,80;62,7%
Juros e Encargos da Dívida;29,52;18,68;40,49;52,89;76,28;86,57;57,05;193,3%
Outras Despesas Correntes;1.434,01;1.511,55;1.613,15;1.959,95;2.070,32;2.190,19;756,18;52,7%
SALDO (D) - Despesas Primárias Correntes;3.610,71;3.879,13;4.435,64;5.061,27;5.011,09;5.732,69;2.121,98;58,8%
