Ano;Brasil;Centro-Oeste;Mato Grosso do Sul;Part. de MS no Brasil (%)
2019;7.389.131,00;731.351,48;106.943,25;1,45%
2020;7.609.597,73;791.250,73;122.627,72;1,61%
2021;9.012.142,00;932.165,62;142.203,77;1,58%
2022;10.079.676,38;1.069.310,34;166.407,33;1,65%
2023;10.943.345,44;1.159.827,00;184.402,00;1,69%
