Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITA CORRENTE;12.766,43;15.132,11;17.309,05;20.028,23;21.502,98;21.899,05;9.132,62;71,5%
Impostos, Taxas e Contribuições de Melhoria;7.040,99;8.147,71;9.745,75;10.836,38;11.917,51;13.361,22;6.320,23;89,8%
ICMS;5.479,82;6.116,12;7.657,29;8.471,25;9.194,95;10.236,01;4.756,19;86,8%
IPVA;286,42;320,30;345,42;372,95;428,05;455,87;169,45;59,2%
Transferências Correntes;4.075,54;5.124,89;5.307,34;6.184,06;6.591,15;5.643,69;1.568,15;38,5%
Cota-Parte do FPE;1.066,39;1.003,75;1.371,53;1.703,49;1.754,82;1.938,33;871,94;81,8%
Receitas Financeiras Correntes;64,11;47,28;186,77;671,52;637,59;497,97;433,86;676,7%
Demais Receitas Correntes;1.585,78;1.812,24;2.069,18;2.336,27;2.356,74;2.396,17;810,39;51,1%
SALDO (A) - Receitas Primárias Correntes;12.702,32;15.084,83;17.122,28;19.356,71;20.865,40;21.401,08;8.698,76;68,5%
