Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITA CORRENTE;3.445,08;3.983,13;4.479,68;4.730,23;5.071,81;5.419,37;1.974,29;57,3%
Impostos, Taxas e Contribuições de Melhoria;1.144,88;1.193,12;1.357,57;1.523,82;1.649,70;1.788,22;643,34;56,2%
ISS;340,77;358,86;435,52;516,33;591,05;663,52;322,75;94,7%
IPTU;493,52;505,39;545,09;585,36;612,39;632,39;138,87;28,1%
Transferências Correntes;1.889,96;2.334,87;2.355,50;2.588,96;2.772,46;2.859,99;970,03;51,3%
Cota-Parte do FPM;139,15;134,18;178,44;227,36;225,06;247,60;108,45;77,9%
Receitas Financeiras Correntes;8,12;2,22;13,21;65,55;83,46;57,57;49,45;609,0%
Demais Receitas Correntes;402,13;452,92;753,40;551,91;566,18;713,59;311,46;77,5%
SALDO (A) - Receitas Primárias Correntes;3.436,96;3.980,91;4.466,47;4.664,68;4.988,34;5.361,80;1.924,84;56,0%
