Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
DESPESA DE CAPITAL;1.301,05;1.141,21;2.467,67;4.211,68;3.681,65;3.103,01;1.801,96;138,5%
Investimentos;1.068,21;992,20;2.004,11;3.751,88;3.262,99;2.763,84;1.695,63;158,7%
Demais Inversões;0,00;4,27;104,12;68,52;0,92;15,91;15,91;0,0%
Despesas Financeiras de Capital;232,84;144,75;359,44;391,28;417,74;323,26;90,42;38,8%
Amortização da Dívida;232,84;144,75;359,44;391,28;417,74;323,26;90,42;38,8%
SALDO (E) - Despesas Primárias de Capital;1.068,21;996,46;2.108,22;3.820,40;3.263,91;2.779,75;1.711,54;160,2%
DESPESA PRIMÁRIA TOTAL (F = D + E);14.476,61;15.113,79;17.936,31;22.382,74;23.531,51;24.187,38;9.710,77;67,1%
