Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
DESPESA CORRENTE;13.765,24;14.224,26;16.134,64;18.903,51;20.677,17;21.844,80;8.079,56;58,7%
Pessoal e Encargos Sociais;10.426,67;10.569,63;11.395,76;12.597,76;13.797,30;14.136,58;3.709,91;35,6%
Juros e Encargos da Dívida;356,84;106,94;306,56;341,17;409,56;437,18;80,34;22,5%
Outras Despesas Correntes;2.981,73;3.547,69;4.432,33;5.964,58;6.470,30;7.271,05;4.289,32;143,9%
SALDO (D) - Despesas Primárias Correntes;13.408,40;14.117,33;15.828,09;18.562,34;20.267,60;21.407,63;7.999,23;59,7%
