Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITAS PRIMÁRIAS;12.784,47;15.333,31;17.382,52;19.553,96;21.073,19;21.569,35;8.784,88;68,7%
DESPESAS PRIMÁRIAS;14.476,61;15.113,79;17.936,31;22.382,74;23.531,51;24.187,38;9.710,77;67,1%
RESULTADO PRIMÁRIO;-1.692,14;219,52;-553,79;-2.828,78;-2.458,32;-2.618,03;-925,89;54,7%
RECEITAS FINANCEIRAS;87,00;84,28;295,78;751,03;762,12;556,75;469,75;539,9%
DESPESAS FINANCEIRAS;589,68;251,68;666,00;732,45;827,31;760,43;170,75;29,0%
RESULTADO ORÇAMENTÁRIO;-2.194,82;52,12;-924,01;-2.810,20;-2.523,51;-2.821,72;-626,90;28,6%
