Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITAS PRIMÁRIAS;12.784,47;15.333,31;17.382,52;19.553,96;21.073,19;21.569,35;8.784,88;68,7%
DESPESAS PRIMÁRIAS;14.476,61;15.113,79;17.936,31;22.382,74;23.531,51;24.187,38;9.710,77;67,1%
RESULTADO PRIMÁRIO;-1.692,14;219,52;-553,79;-2.828,78;-2.458,32;-2.618,03;-925,89;54,7%
