Discriminacao;2019;2020;2021;2022;2023;2024;Variacao Nominal;Variacao (%)
RECEITA DE CAPITAL;136,45;98,34;195,10;227,09;208,92;202,81;66,36;48,6%
Receitas Financeiras de Capital;99,78;80,03;121,29;202,19;127,59;69,09;-30,69;-30,8%
Operações de Crédito;88,93;68,90;108,44;186,81;108,23;53,05;-35,88;-40,3%
Alienação de Bens;1,07;1,08;1,75;1,68;6,10;1,53;0,46;43,0%
Amortização de Empréstimos;9,78;10,05;11,10;13,70;13,27;14,51;4,73;48,4%
Transferências de Capital;36,66;18,31;73,82;24,90;81,33;133,72;97,06;264,8%
SALDO (B) - Receitas Primárias de Capital;36,66;18,31;73,82;24,90;81,33;133,72;97,06;264,8%
RECEITA PRIMÁRIA TOTAL (C = A + B);3.473,63;3.999,22;4.540,29;4.689,58;5.069,67;5.495,52;2.021,89;58,2%
