Ano;PIB MS (R$ milhoes);Crescimento real do PIB (%);Resultado primario (R$ milhoes);Resultado primario / PIB (%)
2019;106.943,25;-0,53%;-1.692,14;-1,58%
2020;122.627,72;0,25%;219,52;0,18%
2021;142.203,77;0,85%;-553,79;-0,39%
2022;166.407,33;4,76%;-2.828,78;-1,70%
2023;184.402,00;13,44%;-2.458,32;-1,33%
