arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);siconfi-cor_LimiteDeAlerta;286579270971.85
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Precatórios Anteriores a 05/05/2000;siconfi-cor_PrecatoriosAnterioresA05052000;188073692.99
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Passivo Atuarial;siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial;839031889732
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Depósitos e Consignações Sem Contrapartida;siconfi-cor_Depositos;13193795270
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;RP Não-Processados;siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores;3006254727.69
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Dívida Contratual de PPP;siconfi-cor_DividaContratualDePPP;924755671.87
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Apropriação de Depósitos Judiciais - LC 151/2015;siconfi-cor_ApropriacaoDeDepositosJudiciais;6605710733.2
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;313564053226.32
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Dívida Contratual;siconfi-cor_DividaContratual;288117932722.66
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Empréstimos;siconfi-cor_RGF2Emprestimos;286816841190.28
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Internos;siconfi-cor_RGF2EmprestimosInternos;262990680627.44
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Externos;siconfi-cor_RGF2EmprestimosExternos;23826160562.84
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Parcelamento e Renegociação de Dívidas;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas;1301091532.38
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;De Tributos;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeTributos;34051879.16
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;De Contribuições Previdenciárias;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisPrevidenciarias;1267039653.22
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos;siconfi-cor_PrecatoriosPosterioresA05052000VencidosENaoPagos;25438626678.32
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Outras Dívidas;siconfi-cor_OutrasDividas;7493825.34
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;DEDUÇÕES (II);siconfi-cor_DeducoesDaDividaConsolidada;43712772649.87
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Disponibilidade de Caixa;siconfi-cor_RGF2DisponibilidadeDeCaixa;27963849354.82
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Disponibilidade de Caixa Bruta;siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02;29614870127.95
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;(-) Restos a Pagar Processados;siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios;1651020773.13
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Demais Haveres Financeiros;siconfi-cor_DemaisHaveresFinanceiros;15748923295.05
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);siconfi-cor_DividaConsolidadaLiquida;269851280576.45
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;RECEITA CORRENTE LÍQUIDA - RCL;siconfi-cor_RGF2ReceitaCorrenteLiquida;161212276087.26
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;% da DC sobre a RCL (I/RCL);siconfi-cor_PercentualDaDCSobreARCL;194.5
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);siconfi-cor_PercentualDaDCLSobreARCL;167.39
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal;322424552174.52
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);siconfi-cor_LimiteDeAlerta;290182096957.07
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Precatórios Anteriores a 05/05/2000;siconfi-cor_PrecatoriosAnterioresA05052000;171221241.91
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Passivo Atuarial;siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial;839031889732
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Depósitos e Consignações Sem Contrapartida;siconfi-cor_Depositos;17610478637.58
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;RP Não-Processados;siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores;3006255732.44
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Dívida Contratual de PPP;siconfi-cor_DividaContratualDePPP;924755671.87
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;Até o 1º Quadrimestre;Apropriação de Depósitos Judiciais - LC 151/2015;siconfi-cor_ApropriacaoDeDepositosJudiciais;10565931695.47
