grupo;valor_grupo;variavel;media;erro_padrao;moda;mediana;q1;q3;variancia;desvio_padrao;minimo;maximo;soma;contagem;ausentes
ano;2022;receita_corrente_pib;0,14519674578703173;0,007957902820326;0,0392588110524161;0,1296455279871895;0,08874820423172225;0,17403873095576133;0,005002929166522448;0,07073138742116153;0,0392588110524161;0,343865641284877;11,470542917175507;79;0
ano;2022;crescimento_populacao;-0,03196150156423613;0,012521274138811619;-0,2798888778648675;-0,0346516995383969;-0,10126309857268215;0,02871875908947335;0,012385802178682537;0,11129151889826348;-0,2798888778648675;0,3276152980877389;-2,5249586235746544;79;0
ano;2022;area_por_habitante;0,2719464984172271;0,03191768300662574;0,0090000868500167;0,1650820688378978;0,09359401237770605;0,3887709586998713;0,08048034059240419;0,2836905719131395;0,0090000868500167;1,378901384571913;21,483773374960943;79;0
ano;2022;distancia_capital_km;277,68886075949365;13,26013603594989;0,0;289,24;199,78;366,645;13890,66540765985;117,85866708757507;0,0;469,41;21937,42;79;0
ano;2022;dummy_pequeno_municipio;0,25316455696202533;0,049234168880847154;0,0;0,0;0,0;0,5;0,19149626744563447;0,43760286498791856;0,0;1,0;20,0;79;0
ano;2022;interacao_pequeno_pessoal;0,017619352304049877;0,0038582707312287317;0,0;0,0;0,0;0,0077168710167538;0,001176013989801047;0,034293060373799346;0,0;0,1233140883478585;1,3919288320199403;79;0
ano;2022;populacao;34898,898734177215;11665,06743728146;3539,0;13808,0;8145,0;25786,5;10749830066,989614;103681,38727365492;3539,0;898100,0;2757013,0;79;0
ano;2022;pib;2106421880,0886075;568217365,7970333;139569867,0;917074913,0;389956988,5;1662614523,0;2,5506807008672244e+19;5050426418,498961;139569867,0;40478598373,0;166407328527,0;79;0
ano;2022;pib_per_capita;68697,4753887278;5753,065116775573;17934,021141157886;56129,14460299774;40510,90663257615;85305,13925402804;2614722900,790935;51134,361253377705;17934,021141157886;363777,71947924345;5427100,555709496;79;0
ano;2022;receita_corrente;226243758,72620252;64707097,12179293;34655994,7;106074022,3;70189691,125;176347170,38;3,307736650164023e+17;575129259,3986175;34655994,7;4924896551,88;17873256939,37;79;0
ano;2022;despesa_pessoal;115750403,60860762;39957642,98312763;15432384,09;50354375,1;29568532,22;77247353,295;1,2613244538860003e+17;355151299,29172444;15432384,09;3101321090,54;9144281885,080002;79;0
ano;2022;investimento;22652473,154810127;4970330,932535836;1793917,56;11595005,85;7252799,095000001;22789878,035;1951630976734881,2;44177267,646776;1793917,56;352271675,07;1789545379,23;79;0
ano;2022;area_km2;4520,785835443038;859,0738836049616;280,457;2957,41;1611,518;4980,4365;58302627,061876774;7635,615696319242;280,457;64432,45;357142,081;79;0
