Indicador;2019;2020;2021;2022;2023;2024
D?vida consolidada (R$ mi);9026.509619530001;9352.844933209999;9071.829886860001;9010.34509827;8897.36909607;9602.94813381
Dedu??es (R$ mi);1690.33294666;3609.28433133;5688.48769526;4944.78271641;5775.05033707;4577.939595119999
DCL (R$ mi);7336.176672869999;5743.56060188;3383.3421916;4065.56238186;3122.318759;5025.00853869
RCL ajustada (R$ mi);12012.24948957;14069.64272069;15809.11394447;18353.3378083;19740.46283742;20305.53806419
DCL / RCL ajustada (%);61.07;40.82;21.4;22.15;15.82;24.75
Servi?o da d?vida (R$ mi);589.68;251.69;666;732.45;827.3;760.44
Servi?o da d?vida / RCL ajustada (%);4.91;1.79;4.21;3.99;4.19;3.74
Despesa com pessoal / RCL (%);86.8;75.12;72.05;68.59;69.84;69.36
