Indicador;2019;2020;2021;2022;2023;2024
DCL / RCL ajustada - MS (%);61.07;40.82;21.4;22.15;15.82;24.75
DCL / RCL ajustada - Campo Grande (%);3.91;4.78;2.23;6.35;6.28;5.98
Servi?o da d?vida / RCL ajustada - MS (%);4.91;1.79;4.21;3.99;4.19;3.74
Servi?o da d?vida / RCL ajustada - Campo Grande (%);2.29;1.6;2.91;2.65;3.17;3.35
Despesa com pessoal / RCL - MS (%);86.8;75.12;72.05;68.59;69.84;69.36
Despesa com pessoal / RCL - Campo Grande (%);62.92;62.11;70.01;68.17;60.11;68.08
Passivo atuarial / RCL ajustada - MS (%);92.12;64.46;64.86;71.69;60.82;49.53
Disp. l?quida ap?s RP / RCL ajustada - MS (%);-0.34;15.66;24.26;19.74;16.84;12.02
